"Name","Street.Address","Address","Phone_No","Website","Services.Provided","lat","lon","display_name"
"AED Legal Centre","45 William St,Melbourne, VIC 3000 , Australia","Level 9, 45 William St,Melbourne, VIC 3000 , Australia","03 9639 4333","www.aed.org.au","Disability and employment law, education and training,  anti-discrimination and human rights",-37.8185934,144.9590886,"45 William, 45, William Street, Melbourne, Southbank, Melbourne, City of Melbourne, Victoria, 3000, Australia"
"Animal Law Institute","350 Bourke Street, Melbourne, VIC 3000, Australia","350 Bourke Street, Melbourne, VIC 3000, Australia","0438 849 038","www.ali.org.au","Animal law",-37.8132592,144.9582051,"Octane Espresso Bar, 350, Bourke Street, Melbourne, Southbank, Melbourne, City of Melbourne, Victoria, 3000, Australia"
"ARC Justice – Loddon Campaspe Community Legal Centre","171 Hargreaves Street Bendigo VIC 3552, Australia","171 Hargreaves Street Bendigo VIC 3552, Australia","03 5445 0909","www.lcclc.org.au","Family, consumer, debt, discrimination, family/domestic violence, minor crimes, motor vehicle accidents, welfare rights, employment, guardianship, complaints and more",-36.75749415,144.284327083599,"Loddon Campaspe Community Legal Centre, 171, Hargreaves Street, Bendigo, City of Greater Bendigo, Victoria, 3550, Australia"
"Asylum Seeker Resource Centre- Human Rights Law Program","214-218 Nicholson Street Footscray VIC 3011, Australia","214-218 Nicholson Street Footscray VIC 3011, Australia","03 9326 6066","www.asrc.org.au","Refugee law",-37.8023718,144.8991083,"Nicholson Street, Footscray, Melbourne, City of Maribyrnong, Victoria, 3011, Australia"
"Ballarat & Grampians Community Legal Service","5 Chancery Lane Ballarat VIC 3350, Australia","5 Chancery Lane Ballarat VIC 3350, Australia","03 5331 5999","www.bgcls.org.au/","Family, consumer, civil, family violence, neighbour disputes, power of attorney and vocat",-37.5634151,143.8566636,"Chancery Lane, Ballarat Central, Ballarat, City of Ballarat, Victoria, 3350, Australia"
"Barwon Community LegalService","63 Thomson Street Belmont VIC 3216, Australia","Level 1, 63 Thomson Street Belmont VIC 3216, Australia","1300 430 599","www.barwoncls.org.au","General law, Centrelink matters, family law, child support, family violence intervention orders, elder law, criminal matters and tenancy law",-38.1735417,144.3421421,"Thomson Street, Belmont, Victoria, 3216, Australia"
"Brimbank Melton Community Legal Centre - St Albans Office","30-32 East Esplanade St Albans VIC 3021, Australia","Suite 2-4 30-32 East Esplanade St Albans VIC 3021, Australia","03 8312 2000","www.comm-unityplus.org.au","Debts, fines and infringements, motor vehicle accidents, family law, including parenting plans, divorce and intervention orders and minor criminal",-37.7410856,144.7980373,"East Esplanade, St Albans, Melbourne, City of Brimbank, Victoria, 3021, Australia"
"Consumer Action Law Centre","179 Queen Street Melbourne VIC 3000, Australia","Level 6, 179 Queen Street Melbourne VIC 3000, Australia","03 9629 6300","www.consumeraction.org.au","Consumer law (including consumer credit)",-37.814968,144.9607785,"Queen Street, Melbourne, Southbank, Melbourne, City of Melbourne, Victoria, 3000, Australia"
"Disability Discrimination Legal Service (Victoria)","247 Flinders Lane Melbourne VIC 3000, Australia","Level 2, 247 Flinders Lane Melbourne VIC 3000, Australia","03 9654 8644","www.ddls.org.au","Disability discrimination",-37.81699315,144.966178598318,"Ross House, 247-251, Flinders Lane, Melbourne, Southbank, Melbourne, City of Melbourne, Victoria, 3000, Australia"
"Djirra – Melbourne","292 Hoddle Street Abbotsford VIC 3067, Australia","292 Hoddle Street Abbotsford VIC 3067, Australia","1800 105 303","www.fvpls.org","Intervention orders, family law, victims of  crime and child protection and other legal  issues arising from family violence  including child support",-37.79756175,144.993847764797,"Aboriginal Family Violence Prevention & Legal Service Victoria, 292, Hoddle Street, Abbotsford, Collingwood, Melbourne, City of Yarra, Victoria, 3067, Australia"
"Eastern Community Legal Centre – Box Hill Office","27 Bank Street, Box Hill, VIC 3128, Australia","Suite 3, Town Hall Hub ,27 Bank Street, Box Hill, VIC 3128, Australia","03 9285 4822","www.eclc.org.au","Generalist, family, family violence, victims  of crime, fines and infringements, minor  criminal matters, car accidents, neighbour  disputes, debt and consumer matters",-37.8196994,145.1261691,"Bank Street, Box Hill, Box Hill North, Melbourne, City of Whitehorse, Victoria, 3129, Australia"
"Emma House Domestic Violence Services Legal Program","131-133 Kepler St Warrnambool, Victoria 3280 , Australia","131-133 Kepler St Warrnambool, Victoria 3280 , Australia","0417 136 108","www.emmahouse.org.au","Family law, family violence, child  protection, VOCAT, VCAT and criminal.  Casework must be directly related to an  incident of family violence",-38.3792592,142.4840228,"Kepler Street, Warrnambool, City of Warrnambool, Victoria, 3280, Australia"
"Environmental Justice Australia","60 Leicester Street, Carlton VIC 3053, Australia","Level 3, The Green Building, 60 Leicester Street, Carlton VIC 3053, Australia","03 8341 3100","www.envirojustice.org.au","Public interest environmental law",-37.8042879,144.9602102,"Leicester Street, Melbourne Innovation District, Carlton, Melbourne, City of Melbourne, Victoria, 3053, Australia"
"First Step Legal","42 Carlisle Street St Kilda VIC 3182, Australia","42 Carlisle Street St Kilda VIC 3182, Australia","03 9537 3177","https://www.firststep.org.au","Criminal law",-37.8679057,144.9870075,"Carlisle Street, St Kilda, Balaclava, Melbourne, City of Port Phillip, Victoria, 3182, Australia"
"Fitzroy Legal Service","Fitzroy Town Hall Fitzroy VIC 3065, Australia","Level 4 Fitzroy Town Hall Fitzroy VIC 3065, Australia","03 9419 3744","www.fitzroy-legal.org.au","Day service - Criminal, family,  public interest issues, victims of crime and drug outreach Night service - General legal advice and referrals, family law, animal law and LGBTIQ specialist clinics",-37.80207075,144.979721196735,"Fitzroy Town Hall, Moor Street, Fitzroy, Melbourne, City of Yarra, Victoria, 3065, Australia"
"Flemington & Kensington Community Legal Centre","22 Bellair Street Kensington VIC 3031, Australia","22 Bellair Street Kensington VIC 3031, Australia","03 9376 4355","https://flemkenlegal.org","Generalist, including criminal law, infringements,  family violence, tenancy, consumer, motor vehicle accidents and wills. Immigration advice for offshore refugees",-37.7891508,144.928670773753,"Flemington & Kensington Community Legal Service, 22, Bellair Street, Kensington, Melbourne, City of Melbourne, Victoria, 3031, Australia"
"Gippsland Community Legal Service","190 Commercial Road Morwell VIC 3840, Australia","190 Commercial Road Morwell VIC 3840, Australia","1800 004 402","www.gcls.org.au","All areas except child protection, adoption, immigration, conveyancing and personal injury. No advice to businesses",-38.2473922,146.4258293,"Commercial Road, Morwell, Latrobe City, Victoria, 3840, Australia"
"Human Rights Law Centre","461 Bourke Street Melbourne VIC 3000, Australia","Level 17, 461 Bourke Street Melbourne VIC 3000, Australia","03 8636 4450","www.hrlc.org.au","Human rights",-37.815347,144.960146,"Officeworks, 461, Bourke Street, Melbourne, Southbank, Melbourne, City of Melbourne, Victoria, 3000, Australia"
"Hume Riverina Community Legal Service","91 Hume Street, Wodonga, VIC 3690, Australia","Suite 5, 91 Hume Street Wodonga VIC 3689, Australia","1800 918 377","www.hrcls.org.au","All except conveyancing, bankruptcy, criminal, immigration",-36.12156575,146.885842367051,"91, Hume Street, Wodonga, City of Wodonga, Victoria, 3690, Australia"
"Inner Melbourne Community Legal","2/508 Queensberry Street North Melbourne VIC 3051,  Australia","2/508 Queensberry Street North Melbourne VIC 3051,  Australia","03 9328 1885","www.imcl.org.au","Criminal, family, family violence, child  protection, debts, fines/infringements,  motor vehicle accidents, victims of crime,  guardianship, employment, consumer  credit/complaints, social security, tenancy,  discrimination and complaints against  government bodies",-37.8038391,144.9563271,"Queensberry Street, Melbourne Innovation District, North Melbourne, Melbourne, City of Melbourne, Victoria, 3051, Australia"
