"Place","Opening.Hours","Street.Address","Suburb","State","Postcode","Country","Phone","Email","Address","lat","lon","display_name"
"Warrnambool","24 Hours","214 Koroit St","Warrnambool","VIC",3280,"Australia","(03) 5560 1333","warrnambool-admin-mg@police.vic.gov.au","214 Koroit St , Warrnambool , VIC , 3280 , Australia",-38.3876912,142.4928371,"Koroit Street, Warrnambool, City of Warrnambool, Victoria, 3280, Australia"
"Cann River","24 Hours","6 Monaro Hwy","Cann River","VIC",3890,"Australia","(03) 51586202","cannriver.uni@police.vic.gov.au","6 Monaro Hwy , Cann River , VIC , 3890 , Australia",-37.5660219,149.1511774,"Monaro Highway, Cann River, Shire of East Gippsland, Victoria, 3890, Australia"
"Forest Hill","Non-24 Hours","469 Springvale Road","Vermont South","VIC",3133,"Australia","(03) 88473600","FORESTHILL-UNI-OIC@police.vic.gov.au","469 Springvale Road , Vermont South , VIC , 3133 , Australia",-37.8588323,145.16896,"Springvale Road, Vermont South, Melbourne, City of Whitehorse, Victoria, 3133, Australia"
"Foster","Non-24 Hours","71 Main Street","Foster","VIC",3960,"Australia","(03) 56822407","Foster.uni@police.vic.gov.au","71 Main Street , Foster , VIC , 3960 , Australia",-38.6521402,146.2023127,"Foster Police Station, 69-71, Main Street, Foster, Shire of South Gippsland, Victoria, 3960, Australia"
"Doncaster","Non-24 Hours","979 Doncaster Road","Doncaster East","VIC",3109,"Australia","(03) 88413999","doncaster.uni@police.vic.gov.au","979 Doncaster Road , Doncaster East , VIC , 3109 , Australia",-37.7882544,145.1578704,"Doncaster Police Station, 979, Doncaster Road, East Doncaster Junction, Doncaster East, Melbourne, City of Manningham, Victoria, 3109, Australia"
"Loch","24 Hours","2 Victoria Street","Loch","VIC",3945,"Australia","(03) 56594267","loch.uni@police.vic.gov.au","2 Victoria Street , Loch , VIC , 3945 , Australia",-38.0414478,147.5871857,"Victoria Street, Loch Sport, Shire of Wellington, Victoria, 3851, Australia"
"Cobram","Non-24 Hours","32 William Street","Cobram","VIC",3644,"Australia","(03) 58711977","COBRAM.UNI@police.vic.gov.au","32 William Street , Cobram , VIC , 3644 , Australia",-35.9177149,145.6507792,"William Street, Cobram, Shire of Moira, Victoria, 3644, Australia"
"Frankston","Non-24 Hours","15 Fletcher Road","Frankston","VIC",3199,"Australia","(03) 97845555","frankston.uni@police.vic.gov.au","15 Fletcher Road , Frankston , VIC , 3199 , Australia",-38.1386929,145.1231641,"Fletcher Road, Frankston, Melbourne, City of Frankston, Victoria, VIC, Australia"
"Maroondah CIU","Non-24 Hours","31 Ringwood Street ","Ringwood","VIC",3134,"Australia","(03) 98713052","ringwood.ciu@police.vic.gov.au","31 Ringwood Street  , Ringwood , VIC , 3134 , Australia",-37.8106081,145.2273529,"Ringwood Street, Ringwood, Ringwood North, Melbourne, City of Maroondah, Victoria, 3134, Australia"
"Monbulk","Non-24 Hours","58 Main Road","Monbulk","VIC",3793,"Australia","(03) 97566266","monbulk.uni@police.vic.gov.au","58 Main Road , Monbulk , VIC , 3793 , Australia",-37.8752212,145.4076111,"Monbulk Police Station, 58, Main Road, Monbulk, Melbourne, Shire of Yarra Ranges, Victoria, 3793, Australia"
"Mansfield","Non-24 Hours","92 High Street","Mansfield","VIC",3722,"Australia","(03) 57752555","mansfield.uni@police.vic.gov.au","92 High Street , Mansfield , VIC , 3722 , Australia",-37.0528146,146.0923942,"High Street, Mansfield, Shire of Mansfield, Victoria, 3722, Australia"
"Marysville","Non-24 Hours","13 Murchison Street","Marysville","VIC",3779,"Australia","(03) 59633222","marysville.uni@police.vic.gov.au","13 Murchison Street , Marysville , VIC , 3779 , Australia",-37.5104664,145.7458057,"Murchison Street, Marysville, Shire of Murrindindi, Victoria, 3779, Australia"
