"LGA","DangerRating","SafetyMetric","br1_flat","br2_flat"
"ALPINE",47.8194453386604,4,"-","310"
"ARARAT",104.148547366378,2,"170","280"
"BALLARAT",97.6959513374519,2,"210","275"
"BANYULE",71.7718361573059,3,"310","385"
"BASS COAST",64.1067739657711,4,"-","300"
"BAW BAW",78.3843225575291,3,"-","310"
"BAYSIDE",52.4106753800362,4,"350","480"
"BENALLA",80.8258329703348,3,"320","270"
"BOROONDARA",59.6655225894069,4,"308","400"
"BRIMBANK",113.693942163556,2,"240","330"
"BULOKE",69.4366395401093,3,"-","-"
"CAMPASPE",83.740867559909,3,"170","270"
"CARDINIA",63.0433415968118,4,"250","320"
"CASEY",98.0250415118508,2,"270","330"
"CENTRAL GOLDFIELDS",85.9631607582019,3,"-","250"
"COLAC-OTWAY",74.1843856406215,3,"230","285"
"CORANGAMITE",57.4667980768438,4,".","250"
"DAREBIN",109.414645460831,2,"310","385"
"EAST GIPPSLAND",88.6567774289519,3,"225","280"
"FRANKSTON",105.99303974167,2,"250","340"
"GANNAWARRA",82.3804921358444,3,"-","230"
"GLEN EIRA",57.539707846694,4,"300","400"
"GLENELG",66.912168626847,3,"350","300"
"GOLDEN PLAINS",30.9011438248572,5,"-","-"
"GREATER BENDIGO",92.186715465652,2,"220","280"
"GREATER DANDENONG",125.910011299892,1,"260","330"
"GREATER GEELONG",109.808040150558,2,"265","340"
"GREATER SHEPPARTON",110.170640017584,2,"200","260"
"HEPBURN",52.6801248889422,4,"-","303"
"HINDMARSH",81.1029840903241,3,"-","-"
"HOBSONS BAY",63.2950124382868,4,"290","350"
"HORSHAM",81.7908031190513,3,"170","260"
"HUME",113.245094158634,2,"285","340"
"INDIGO",33.8542429450864,5,"-","300"
"KINGSTON",75.9890845568589,3,"320","390"
"KNOX",76.8414245550043,3,"330","380"
"LATROBE",155.275382404381,1,"188","250"
"LODDON",75.6831614568865,3,"-","-"
"MACEDON RANGES",45.2321171767194,4,"252","360"
"MANNINGHAM",40.367755003834,4,"350","400"
"MANSFIELD",53.8347502859156,4,"-","345"
"MARIBYRNONG",98.0856776749087,2,"290","380"
"MAROONDAH",64.9049512873318,4,"350","375"
"MELBOURNE",245.442918834636,1,"310","400"
"MELTON",80.6223192354623,3,"346","320"
"MILDURA",110.729035638754,2,"210","240"
"MITCHELL",79.15186350426,3,"-","300"
"MOIRA",65.5895096211095,3,"120","250"
"MONASH",77.410355030464,3,"320","390"
"MOONEE VALLEY",72.2727936437606,3,"320","375"
"MOORABOOL",58.6043281267054,4,"230","300"
"MORELAND",99.5544753939384,2,"320","391"
"MORNINGTON PENINSULA",74.1161296244637,3,"300","360"
"MOUNT ALEXANDER",51.260121479766,4,"-","320"
"MOYNE",44.588349376602,4,"-","-"
"MURRINDINDI",62.5616927732468,4,"-","253"
"NILLUMBIK",33.6208436460682,5,"370","410"
"NORTHERN GRAMPIANS",92.8158843424535,2,"-","205"
"PORT PHILLIP",130.366034095657,1,"330","450"
"PYRENEES",80.3940637745174,3,"-","-"
"QUEENSCLIFFE",66.6910055858853,3,"-","-"
"SOUTH GIPPSLAND",50.3550069133829,4,".","280"
"SOUTHERN GRAMPIANS",70.7175720078174,3,"170","235"
"STONNINGTON",109.498039801814,2,"325","450"
"STRATHBOGIE",58.025109561333,4,"230","280"
"SURF COAST",38.7161590844045,5,"-","410"
"SWAN HILL",102.210926734146,2,"170","260"
"TOWONG",52.5168074756222,4,"-","-"
"WANGARATTA",68.8310458706971,3,"195","250"
"WARRNAMBOOL",83.497371801588,3,"270","300"
"WELLINGTON",85.6943161900118,3,"220","285"
"WEST WIMMERA",74.6966170683351,3,"-","-"
"WHITEHORSE",62.680326768391,4,"320","395"
"WHITTLESEA",83.7527366048576,3,"300","340"
"WODONGA",73.9717070588998,3,"200","260"
"WYNDHAM",83.2426786076492,3,"300","320"
"YARRA",159.447670100475,1,"350","475"
"YARRA RANGES",58.1764663776403,4,"300","370"
"YARRIAMBIACK",84.2122686175564,3,"139","-"
