Place,Opening Hours,Street Address,Suburb,State,Postcode,Country,Phone,Email
Warrnambool,24 Hours,214 Koroit St,Warrnambool,VIC,3280,Australia,(03) 5560 1333,warrnambool-admin-mg@police.vic.gov.au
Cann River,24 Hours,6 Monaro Hwy,Cann River,VIC,3890,Australia,(03) 51586202,cannriver.uni@police.vic.gov.au
Forest Hill,Non-24 Hours,469 Springvale Road,Vermont South,VIC,3133,Australia,(03) 88473600,FORESTHILL-UNI-OIC@police.vic.gov.au
Foster,Non-24 Hours,71 Main Street,Foster,VIC,3960,Australia,(03) 56822407,Foster.uni@police.vic.gov.au
Doncaster,Non-24 Hours,979 Doncaster Road,Doncaster East,VIC,3109,Australia,(03) 88413999,doncaster.uni@police.vic.gov.au
Loch,24 Hours,2 Victoria Street,Loch,VIC,3945,Australia,(03) 56594267,loch.uni@police.vic.gov.au
Cobram,Non-24 Hours,32 William Street,Cobram,VIC,3644,Australia,(03) 58711977,COBRAM.UNI@police.vic.gov.au
Frankston,Non-24 Hours,15 Fletcher Road,Frankston,VIC,3199,Australia,(03) 97845555,frankston.uni@police.vic.gov.au
Maroondah CIU,Non-24 Hours,31 Ringwood Street ,Ringwood,VIC,3134,Australia,(03) 98713052,ringwood.ciu@police.vic.gov.au
Monbulk,Non-24 Hours,58 Main Road,Monbulk,VIC,3793,Australia,(03) 97566266,monbulk.uni@police.vic.gov.au
Mansfield,Non-24 Hours,92 High Street,Mansfield,VIC,3722,Australia,(03) 57752555,mansfield.uni@police.vic.gov.au
Marysville,Non-24 Hours,13 Murchison Street,Marysville,VIC,3779,Australia,(03) 59633222,marysville.uni@police.vic.gov.au
Mount Evelyn,Non-24 Hours,17 York Road,Mount Evelyn,VIC,3796,Australia,(03) 97362473,mtevelyn.uni@police.vic.gov.au
Frankston,24 Hours,15 Fletcher Road,Frankston,VIC,3199,Australia,(03) 97845555,frankston.uni@police.vic.gov.au
Dromana,Non-24 Hours,321 Point Nepean Rd,Dromana,VIC,3936,Australia,(03) 59872023,dromana.uni@police.vic.gov.au
Mordialloc,Non-24 Hours,31 Albert Street,Mordialloc,VIC,3195,Australia,(03) 95882988,mordialloc.uni@police.vic.gov.au
Subpoena Management Unit,Non-24 Hours,637 Flinders Street,Docklands,VIC,3008,Australia,(03) 92476954,subpoenamanagement.rsd@police.vic.gov.au
Bright,Non-24 Hours,7 Park Street,Bright,VIC,3741,Australia,(03) 57551444,bright.uni@police.vic.gov.au
Melton,24 Hours,243 Station Road,Melton,VIC,3337,Australia,(03) 97477999,MELTON.UNI@police.vic.gov.au
Mill Park,24 Hours,151 Centenary Drive,Mill Park,VIC,3082,Australia,(03) 94073333,MILLPARK.UNI@police.vic.gov.au
Mernda,24 Hours,542 Bridge Inn Road,Mernda,VIC,3754,Australia,(03) 92161200,MERNDA-UNI-OIC@police.vic.gov.au
Melbourne North,24 Hours,36 Wreckyn Street,North Melbourne,VIC,3051,Australia,(03) 83790800,MELBOURNENORTH-UNI-OIC@police.vic.gov.au
Rawson,Non-24 Hours,4 Pinnacle Drive,Rawson,VIC,3825,Australia,(03) 51653444,rawson.uni@police.vic.gov.au
Chiltern,Non-24 Hours,64 Main Street,Chiltern,VIC,3683,Australia,(03) 57261222,chiltern.uni@police.vic.gov.au
Falls Creek (Snow Season),Non-24 Hours,Falls Creek Road,Falls Creek,VIC,3699,Australia,(03) 57583424,mounthothamandfallscreek.er@police.vic.gov.au
Maroondah CIU,Non-24 Hours,31 Ringwood Street,Ringwood,VIC,3134,Australia,(03) 98713052,ringwood.ciu@police.vic.gov.au
Monbulk,Non-24 Hours,58 Main Road,Monbulk,VIC,3793,Australia,(03) 97566266,monbulk.uni@police.vic.gov.au
